Condition,Mean KT,Std KT
ER->ER (Betweenness),0.854398,0.010370
ER->BA (Betweenness),0.839875,0.011861
ER->GRP (Betweenness),0.729341,0.048464
ER->ER (Closeness),0.825973,0.011217
ER->BA (Closeness),0.603739,0.027276
ER->GRP (Closeness),0.017063,0.049362
Mixed->ER (Betweenness),0.886742,0.009513
Mixed->BA (Betweenness),0.933361,0.004813
Mixed->GRP (Betweenness),0.878061,0.010277
